reference,date,repository,filename,score,value,comment_cleaned,sentiment
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/main/java/org/junit/After.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/main/java/org/junit/experimental/max/MaxCore.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/test/java/org/junit/tests/running/core/SystemExitTest.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/main/java/org/junit/BeforeClass.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/test/java/org/junit/rules/MethodRulesTest.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/test/java/junit/samples/money/Money.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/main/java/org/junit/rules/DisableOnDebug.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/main/java/org/junit/internal/builders/AnnotatedBuilder.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/main/java/org/junit/internal/runners/rules/RuleMemberValidator.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/test/java/org/junit/tests/experimental/theories/AssumingInTheoriesTest.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/main/java/org/junit/internal/runners/statements/FailOnTimeout.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/main/java/org/junit/experimental/theories/internal/Assignments.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/test/java/org/junit/internal/runners/statements/ExpectExceptionTest.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/main/java/org/junit/runners/parameterized/BlockJUnit4ClassRunnerWithParameters.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/main/java/org/junit/internal/matchers/TypeSafeMatcher.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/test/java/org/junit/tests/deprecated/JUnit4ClassRunnerTest.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/main/java/org/junit/experimental/categories/Categories.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/main/java/org/junit/runners/model/FrameworkField.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/main/java/org/junit/runner/Runner.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/test/java/org/junit/experimental/categories/MultiCategoryTest.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/test/java/org/junit/rules/BlockJUnit4ClassRunnerOverrideTest.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/main/java/org/junit/internal/runners/model/EachTestNotifier.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/test/java/org/junit/internal/runners/statements/FailOnTimeoutTest.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/main/java/org/junit/runners/BlockJUnit4ClassRunner.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/main/java/org/junit/experimental/runners/Enclosed.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/main/java/org/junit/internal/builders/AllDefaultPossibilitiesBuilder.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/main/java/org/junit/experimental/max/MaxHistory.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/main/java/org/junit/experimental/theories/FromDataPoints.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/test/java/junit/tests/runner/ResultTest.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/main/java/org/junit/runner/Result.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/main/java/org/junit/Rule.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/main/java/org/junit/experimental/theories/Theories.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/main/java/org/junit/internal/runners/ClassRoadie.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/main/java/junit/framework/TestCase.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/main/java/junit/textui/TestRunner.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/main/java/org/junit/experimental/categories/CategoryValidator.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/test/java/org/junit/tests/experimental/rules/MethodRulesTest.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/test/java/org/junit/tests/experimental/rules/RuleMemberValidatorTest.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/test/java/org/junit/tests/internal/runners/statements/FailOnTimeoutTest.java,0,0,,0
r3.8.2,2004-12-28,5a932d02b8a9f956ba503603,src/test/java/org/junit/tests/experimental/categories/MultiCategoryTest.java,0,0,,0
